dataset_label_raw,dataset_label_canonical
abseiling,abseiling
air drumming,air drumming
answering questions,answering questions
applauding,applauding
applying cream,applying cream
archery,archery
arm wrestling,arm wrestling
arranging flowers,arranging flowers
assembling computer,assembling computer
auctioning,auctioning
baby waking up,baby waking up
baking cookies,baking cookies
balloon blowing,balloon blowing
bandaging,bandaging
barbequing,barbequing
bartending,bartending
beatboxing,beatboxing
bee keeping,bee keeping
belly dancing,belly dancing
bench pressing,bench pressing
bending back,bending back
bending metal,bending metal
biking through snow,biking through snow
blasting sand,blasting sand
blowing glass,blowing glass
blowing leaves,blowing leaves
blowing nose,blowing nose
blowing out candles,blowing out candles
bobsledding,bobsledding
bookbinding,bookbinding
bouncing on trampoline,bouncing on trampoline
bowling,bowling
braiding hair,braiding hair
breading or breadcrumbing,breading or breadcrumbing
breakdancing,breakdancing
brush painting,brush painting
brushing hair,brushing hair
brushing teeth,brushing teeth
building cabinet,building cabinet
building shed,building shed
bungee jumping,bungee jumping
busking,busking
canoeing or kayaking,canoeing or kayaking
capoeira,capoeira
carrying baby,carrying baby
cartwheeling,cartwheeling
carving pumpkin,carving pumpkin
catching fish,catching fish
catching or throwing baseball,catching or throwing baseball
catching or throwing frisbee,catching or throwing frisbee
catching or throwing softball,catching or throwing softball
celebrating,celebrating
changing oil,changing oil
changing wheel,changing wheel
checking tires,checking tires
cheerleading,cheerleading
chopping wood,chopping wood
clapping,clapping
clay pottery making,clay pottery making
clean and jerk,clean and jerk
cleaning floor,cleaning floor
cleaning gutters,cleaning gutters
cleaning pool,cleaning pool
cleaning shoes,cleaning shoes
cleaning toilet,cleaning toilet
cleaning windows,cleaning windows
climbing a rope,climbing a rope
climbing ladder,climbing ladder
climbing tree,climbing tree
contact juggling,contact juggling
cooking chicken,cooking chicken
cooking egg,cooking egg
cooking on campfire,cooking on campfire
cooking sausages,cooking sausages
counting money,counting money
country line dancing,country line dancing
cracking neck,cracking neck
crawling baby,crawling baby
crossing river,crossing river
crying,crying
curling hair,curling hair
cutting nails,cutting nails
cutting pineapple,cutting pineapple
cutting watermelon,cutting watermelon
dancing ballet,dancing ballet
dancing charleston,dancing charleston
dancing gangnam style,dancing gangnam style
dancing macarena,dancing macarena
deadlifting,deadlifting
decorating the christmas tree,decorating the christmas tree
digging,digging
dining,dining
disc golfing,disc golfing
diving cliff,diving cliff
dodgeball,dodgeball
doing aerobics,doing aerobics
doing laundry,doing laundry
doing nails,doing nails
drawing,drawing
dribbling basketball,dribbling basketball
drinking,drinking
drinking beer,drinking beer
drinking shots,drinking shots
driving car,driving car
driving tractor,driving tractor
drop kicking,drop kicking
drumming fingers,drumming fingers
dunking basketball,dunking basketball
dying hair,dying hair
eating burger,eating burger
eating cake,eating cake
eating carrots,eating carrots
eating chips,eating chips
eating doughnuts,eating doughnuts
eating hotdog,eating hotdog
eating ice cream,eating ice cream
eating spaghetti,eating spaghetti
eating watermelon,eating watermelon
egg hunting,egg hunting
exercising arm,exercising arm
exercising with an exercise ball,exercising with an exercise ball
extinguishing fire,extinguishing fire
faceplanting,faceplanting
feeding birds,feeding birds
feeding fish,feeding fish
feeding goats,feeding goats
filling eyebrows,filling eyebrows
finger snapping,finger snapping
fixing hair,fixing hair
flipping pancake,flipping pancake
flying kite,flying kite
folding clothes,folding clothes
folding napkins,folding napkins
folding paper,folding paper
front raises,front raises
frying vegetables,frying vegetables
garbage collecting,garbage collecting
gargling,gargling
getting a haircut,getting a haircut
getting a tattoo,getting a tattoo
giving or receiving award,giving or receiving award
golf chipping,golf chipping
golf driving,golf driving
golf putting,golf putting
grinding meat,grinding meat
grooming dog,grooming dog
grooming horse,grooming horse
gymnastics tumbling,gymnastics tumbling
hammer throw,hammer throw
headbanging,headbanging
headbutting,headbutting
high jump,high jump
high kick,high kick
hitting baseball,hitting baseball
hockey stop,hockey stop
holding snake,holding snake
hopscotch,hopscotch
hoverboarding,hoverboarding
hugging,hugging
hula hooping,hula hooping
hurdling,hurdling
hurling sport,hurling sport
ice climbing,ice climbing
ice fishing,ice fishing
ice skating,ice skating
ironing,ironing
javelin throw,javelin throw
jetskiing,jetskiing
jogging,jogging
juggling balls,juggling balls
juggling fire,juggling fire
juggling soccer ball,juggling soccer ball
jumping into pool,jumping into pool
jumpstyle dancing,jumpstyle dancing
kicking field goal,kicking field goal
kicking soccer ball,kicking soccer ball
kissing,kissing
kitesurfing,kitesurfing
knitting,knitting
krumping,krumping
laughing,laughing
laying bricks,laying bricks
long jump,long jump
lunge,lunge
making a cake,making a cake
making a sandwich,making a sandwich
making bed,making bed
making jewelry,making jewelry
making pizza,making pizza
making snowman,making snowman
making sushi,making sushi
making tea,making tea
marching,marching
massaging back,massaging back
massaging feet,massaging feet
massaging legs,massaging legs
massaging person s head,massaging person s head
milking cow,milking cow
mopping floor,mopping floor
motorcycling,motorcycling
moving furniture,moving furniture
mowing lawn,mowing lawn
news anchoring,news anchoring
opening bottle,opening bottle
opening present,opening present
paragliding,paragliding
parasailing,parasailing
parkour,parkour
passing american football in game,passing american football in game
passing american football not in game,passing american football not in game
peeling apples,peeling apples
peeling potatoes,peeling potatoes
petting animal not cat,petting animal not cat
petting cat,petting cat
picking fruit,picking fruit
planting trees,planting trees
plastering,plastering
playing accordion,playing accordion
playing badminton,playing badminton
playing bagpipes,playing bagpipes
playing basketball,playing basketball
playing bass guitar,playing bass guitar
playing cards,playing cards
playing cello,playing cello
playing chess,playing chess
playing clarinet,playing clarinet
playing controller,playing controller
playing cricket,playing cricket
playing cymbals,playing cymbals
playing didgeridoo,playing didgeridoo
playing drums,playing drums
playing flute,playing flute
playing guitar,playing guitar
playing harmonica,playing harmonica
playing harp,playing harp
playing ice hockey,playing ice hockey
playing keyboard,playing keyboard
playing kickball,playing kickball
playing monopoly,playing monopoly
playing organ,playing organ
playing paintball,playing paintball
playing piano,playing piano
playing poker,playing poker
playing recorder,playing recorder
playing saxophone,playing saxophone
playing squash or racquetball,playing squash or racquetball
playing tennis,playing tennis
playing trombone,playing trombone
playing trumpet,playing trumpet
playing ukulele,playing ukulele
playing violin,playing violin
playing volleyball,playing volleyball
playing xylophone,playing xylophone
pole vault,pole vault
presenting weather forecast,presenting weather forecast
pull ups,pull ups
pumping fist,pumping fist
pumping gas,pumping gas
punching bag,punching bag
punching person boxing,punching person boxing
push up,push up
pushing car,pushing car
pushing cart,pushing cart
pushing wheelchair,pushing wheelchair
reading book,reading book
reading newspaper,reading newspaper
recording music,recording music
riding a bike,riding a bike
riding camel,riding camel
riding elephant,riding elephant
riding mechanical bull,riding mechanical bull
riding mountain bike,riding mountain bike
riding mule,riding mule
riding or walking with horse,riding or walking with horse
riding scooter,riding scooter
riding unicycle,riding unicycle
ripping paper,ripping paper
robot dancing,robot dancing
rock climbing,rock climbing
rock scissors paper,rock scissors paper
roller skating,roller skating
running on treadmill,running on treadmill
sailing,sailing
salsa dancing,salsa dancing
sanding floor,sanding floor
scrambling eggs,scrambling eggs
scuba diving,scuba diving
setting table,setting table
shaking hands,shaking hands
shaking head,shaking head
sharpening knives,sharpening knives
sharpening pencil,sharpening pencil
shaving head,shaving head
shaving legs,shaving legs
shearing sheep,shearing sheep
shining shoes,shining shoes
shooting basketball,shooting basketball
shooting goal soccer,shooting goal soccer
shot put,shot put
shoveling snow,shoveling snow
shredding paper,shredding paper
shuffling cards,shuffling cards
side kick,side kick
sign language interpreting,sign language interpreting
singing,singing
situp,situp
skateboarding,skateboarding
ski jumping,ski jumping
skiing crosscountry,skiing crosscountry
skiing not slalom or crosscountry,skiing not slalom or crosscountry
skiing slalom,skiing slalom
skipping rope,skipping rope
skydiving,skydiving
slacklining,slacklining
slapping,slapping
sled dog racing,sled dog racing
smoking,smoking
smoking hookah,smoking hookah
snatch weight lifting,snatch weight lifting
sneezing,sneezing
sniffing,sniffing
snorkeling,snorkeling
snowboarding,snowboarding
snowkiting,snowkiting
snowmobiling,snowmobiling
somersaulting,somersaulting
spinning poi,spinning poi
spray painting,spray painting
spraying,spraying
springboard diving,springboard diving
squat,squat
sticking tongue out,sticking tongue out
stomping grapes,stomping grapes
stretching arm,stretching arm
stretching leg,stretching leg
strumming guitar,strumming guitar
surfing crowd,surfing crowd
surfing water,surfing water
sweeping floor,sweeping floor
swimming backstroke,swimming backstroke
swimming breast stroke,swimming breast stroke
swimming butterfly stroke,swimming butterfly stroke
swing dancing,swing dancing
swinging legs,swinging legs
swinging on something,swinging on something
sword fighting,sword fighting
tai chi,tai chi
taking a shower,taking a shower
tango dancing,tango dancing
tap dancing,tap dancing
tapping guitar,tapping guitar
tapping pen,tapping pen
tasting beer,tasting beer
tasting food,tasting food
testifying,testifying
texting,texting
throwing axe,throwing axe
throwing ball,throwing ball
throwing discus,throwing discus
tickling,tickling
tobogganing,tobogganing
tossing coin,tossing coin
tossing salad,tossing salad
training dog,training dog
trapezing,trapezing
trimming or shaving beard,trimming or shaving beard
trimming trees,trimming trees
triple jump,triple jump
tying bow tie,tying bow tie
tying knot not on a tie,tying knot not on a tie
tying tie,tying tie
unboxing,unboxing
unloading truck,unloading truck
using computer,using computer
using remote controller not gaming,using remote controller not gaming
using segway,using segway
vault,vault
waiting in line,waiting in line
walking the dog,walking the dog
washing dishes,washing dishes
washing feet,washing feet
washing hair,washing hair
washing hands,washing hands
water skiing,water skiing
water sliding,water sliding
watering plants,watering plants
waxing back,waxing back
waxing chest,waxing chest
waxing eyebrows,waxing eyebrows
waxing legs,waxing legs
weaving basket,weaving basket
welding,welding
whistling,whistling
windsurfing,windsurfing
wrapping present,wrapping present
wrestling,wrestling
writing,writing
yawning,yawning
yoga,yoga
zumba,zumba
